Model,Train Accuracy,Test Accuracy,CV Score (Mean),Diff
"XGBoost (Best, Default 0.5 Threshold)",0.9921647348313152,0.983941983941984,0.9631550697192276,0.00822275088933122
XGBoost (Baseline),0.9975393382114874,0.9826469826469827,,0.014892355564504745
"XGBoost (Best, Thr=0.20)",0.9806384769798614,0.9712509712509713,,0.009387505728890133
"XGBoost (Best, Thr=0.15)",0.9732564916143236,0.9634809634809635,,0.009775528133360134
"XGBoost (Best, Thr=0.10)",0.961147445444538,0.9502719502719502,,0.01087549517258779
Random Forest (Baseline),1.0,0.9329189329189329,0.9345980094837607,0.06708106708106709
Decision Tree (Baseline),1.0,0.9305879305879305,0.9303891923036278,0.06941206941206945
Random Forest (Best),0.9908696496794664,0.9272209272209272,0.9295470346893625,0.06364872245853925
Decision Tree (Best),0.92585637505666,0.8961408961408961,0.9011197387688556,0.02971547891576387
